epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,93.6449,1.84647,2.62323,1.4319,0.59153,0.4812,0.49857,0.22067,nan,nan,nan,0.000664032,0.000664032,0.000664032
2,179.148,1.95112,1.87033,1.53683,0.63081,0.52439,0.56159,0.23299,1.95481,1.78356,1.69847,0.00129776,0.00129776,0.00129776
3,263.264,1.96458,1.68053,1.55263,0.62716,0.53005,0.56474,0.22866,2.02907,1.71835,1.75266,0.0018985,0.0018985,0.0018985
4,348.659,1.94021,1.56318,1.54562,0.71721,0.6056,0.65424,0.3138,1.77892,1.42834,1.57806,0.0018515,0.0018515,0.0018515
5,432.497,1.83904,1.40499,1.48728,0.76544,0.64909,0.71058,0.3393,1.77057,1.34186,1.56308,0.001802,0.001802,0.001802
6,515.977,1.82727,1.3908,1.48009,0.79504,0.62133,0.72013,0.34784,1.75763,1.28196,1.5668,0.0017525,0.0017525,0.0017525
7,599.831,1.78463,1.35322,1.46287,0.80001,0.67265,0.75507,0.38123,1.65925,1.21478,1.49308,0.001703,0.001703,0.001703
8,683.541,1.76522,1.30494,1.42172,0.77052,0.69173,0.74829,0.38451,1.6912,1.2184,1.51528,0.0016535,0.0016535,0.0016535
9,768.111,1.71921,1.25111,1.41063,0.81778,0.72397,0.79345,0.41864,1.60258,1.12199,1.46478,0.001604,0.001604,0.001604
10,859.475,1.68804,1.19771,1.39454,0.82454,0.68968,0.76688,0.38697,1.72319,1.17008,1.51661,0.0015545,0.0015545,0.0015545
11,951.626,1.66839,1.18964,1.37449,0.87044,0.73274,0.82172,0.4411,1.59164,1.02602,1.45193,0.001505,0.001505,0.001505
12,1044.08,1.63905,1.15302,1.35428,0.85253,0.75471,0.83125,0.44203,1.58347,1.00009,1.41181,0.0014555,0.0014555,0.0014555
13,1137.64,1.62947,1.1338,1.34684,0.85584,0.75051,0.82551,0.45477,1.55764,1.01942,1.40859,0.001406,0.001406,0.001406
14,1231.8,1.62055,1.11732,1.34707,0.85411,0.76828,0.83517,0.46575,1.55432,0.96846,1.40681,0.0013565,0.0013565,0.0013565
15,1326.02,1.59476,1.08643,1.33081,0.87862,0.75871,0.84354,0.47016,1.55331,0.96557,1.40132,0.001307,0.001307,0.001307
16,1420.89,1.59194,1.06897,1.32838,0.87651,0.76692,0.85551,0.45911,1.59699,0.96029,1.41076,0.0012575,0.0012575,0.0012575
